ID,customer_id,country_id,tbl_loan_id,lender_id,loan_type,Total_Amount,Total_Amount_to_Repay,disbursement_date,due_date,duration,New_versus_Repeat,Amount_Funded_By_Lender,Lender_portion_Funded,Lender_portion_to_be_repaid,probability_default,prediction_default
ID_298541365361296540,298541,Ghana,365361,296540,Type_2,59370.02,77181.03,2023-02-20,2023-08-19,180,Repeat Loan,2456.53,0.0413766666666666,3196.09,0.8850739280687036,1
ID_297695364406245684,297695,Ghana,364406,245684,Type_2,72075.3,93697.89,2022-09-12,2023-03-11,180,Repeat Loan,2247.79,0.0311866666666666,2919.05,0.8884812598877335,1
ID_309938368579267278,309938,Kenya,368579,267278,Type_7,4514.0,4936.0,2024-08-06,2024-08-13,7,Repeat Loan,903.0,0.200044306601683,987.0,0.8850012285715144,1
ID_273307306592267278,273307,Kenya,306592,267278,Type_23,2263187.0,2395583.44,2023-02-08,2023-05-09,90,Repeat Loan,400000.0,0.176741913063304,423400.0,0.9151321983713168,1
ID_253200117530245684,253200,Kenya,117530,245684,Type_14,8000.0,8902.0,2022-02-18,2022-03-20,30,New Loan,8000.0,1.0,8902.0,0.9188852456379176,1
ID_296416364982297182,296416,Ghana,364982,297182,Type_2,152189.11,252633.93,2022-11-30,2023-11-25,360,Repeat Loan,24350.26,0.16,40423.12,0.8997288667323957,1
ID_260780299477267278,260780,Kenya,299477,267278,Type_1,1500.0,1959.0,2022-11-15,2022-11-22,7,Repeat Loan,450.0,0.3,588.0,0.9172662225096788,1
ID_296581364468297182,296581,Ghana,364468,297182,Type_2,107711.59,156181.81,2022-09-21,2023-07-18,300,Repeat Loan,6534.5,0.0606666666666666,9478.62,0.8879458309825873,1
ID_247740299189267278,247740,Kenya,299189,267278,Type_1,1500.0,1808.0,2022-11-15,2022-11-22,7,Repeat Loan,450.0,0.3,542.0,0.9169835808045682,1
ID_296416363687296540,296416,Ghana,363687,296540,Type_2,185321.42,256670.16,2022-04-21,2023-04-21,365,Repeat Loan,2933.02,0.0158266666666666,4864.69,0.8712035505516907,1
ID_241961197121251804,241961,Kenya,197121,251804,Type_4,62000.0,65788.0,2022-06-22,2022-08-21,60,Repeat Loan,8266.0,0.133322580645161,9267.0,0.7645804858885665,1
ID_296423363038245684,296423,Ghana,363038,245684,Type_2,91803.13,117049.0,2021-12-06,2022-06-04,180,Repeat Loan,10024.9,0.1092,13329.82,0.8711753929489616,1
ID_253126247615267278,253126,Kenya,247615,267278,Type_1,7794.0,9676.0,2022-08-30,2022-09-06,7,Repeat Loan,1434.8,0.184090325891711,1781.0,0.8975561048438234,1
ID_254462261067267278,254462,Kenya,261067,267278,Type_1,539.0,880.0,2022-09-16,2022-09-23,7,Repeat Loan,161.7,0.3,264.0,0.919753283159291,1
ID_308586368196267278,308586,Kenya,368196,267278,Type_7,5000.0,5719.0,2024-07-27,2024-08-03,7,Repeat Loan,1000.0,0.2,1144.0,0.9175263201203724,1
ID_250187233491267278,250187,Kenya,233491,267278,Type_1,73894.0,80592.0,2022-08-08,2022-08-15,7,Repeat Loan,22168.2,0.3,24178.0,0.231553434398282,0
ID_266990306640267278,266990,Kenya,306640,267278,Type_5,30340.0,53184.0,2023-02-15,2023-03-01,14,Repeat Loan,6068.0,0.2,10637.0,0.9121118155867493,1
ID_296794363618245684,296794,Ghana,363618,245684,Type_2,61457.09,78050.51,2022-04-08,2022-10-05,180,Repeat Loan,3743.81,0.0609175,4747.56,0.8632940605267788,1
ID_297981364735296540,297981,Ghana,364735,296540,Type_2,26188.11,34044.55,2022-10-27,2023-04-25,180,Repeat Loan,2005.57,0.0765833333333333,2610.08,0.8515966311517339,1
ID_295887363955245684,295887,Ghana,363955,245684,Type_2,147775.46,212796.66,2022-06-13,2023-02-08,240,Repeat Loan,8068.54,0.0546,11615.15,0.8802543589342516,1
ID_295271364014245684,295271,Ghana,364014,245684,Type_2,74447.11,104598.19,2022-06-23,2023-06-23,365,Repeat Loan,5780.97,0.077652,8903.87,0.8634435336866214,1
ID_295994365329297182,295994,Ghana,365329,297182,Type_2,103103.74,137437.29,2023-02-10,2023-09-08,210,Repeat Loan,41241.5,0.4,54974.92,0.8707639582277156,1
ID_238249306191251804,238249,Kenya,306191,251804,Type_4,300000.0,396184.0,2022-12-23,2023-06-23,182,Repeat Loan,1971.86,0.0065728666666666,2604.0,0.8627612660842252,1
ID_85876307298267278,85876,Kenya,307298,267278,Type_4,8000.0,9646.0,2023-06-08,2023-07-08,30,Repeat Loan,1600.0,0.2,1929.0,0.919662413880874,1
ID_296378363863245684,296378,Ghana,363863,245684,Type_2,60164.7,67143.8,2022-05-23,2022-11-19,180,Repeat Loan,4901.02,0.0814599999999999,6512.83,0.7583600010115313,1
ID_295476364799296540,295476,Ghana,364799,296540,Type_2,52182.61,70968.35,2022-11-02,2023-06-30,240,Repeat Loan,8349.22,0.16,11358.41,0.8271578985727779,1
ID_247614252864267278,247614,Kenya,252864,267278,Type_1,16432.0,26528.0,2022-09-06,2022-09-13,7,Repeat Loan,4929.6,0.3,7958.0,0.9197545980712656,1
ID_266870261539267278,266870,Kenya,261539,267278,Type_1,9324.0,10006.0,2022-09-17,2022-09-24,7,Repeat Loan,1921.25,0.206054268554268,2062.0,0.4072835289075622,0
ID_296568363287296540,296568,Ghana,363287,296540,Type_2,178217.47,274454.9,2022-02-04,2023-02-04,365,Repeat Loan,47512.78,0.2666,73176.09,0.8845996453713698,1
ID_266370278054267278,266370,Kenya,278054,267278,Type_1,21672.0,24417.0,2022-10-08,2022-10-15,7,Repeat Loan,2769.59,0.127795773348098,3120.0,0.7404964254506439,1
ID_296870364737297182,296870,Ghana,364737,297182,Type_2,61179.88,77698.45,2022-10-28,2023-04-26,180,Repeat Loan,9788.78,0.16,12428.26,0.8278317468461932,1
ID_296416363036245684,296416,Ghana,363036,245684,Type_2,110163.76,129993.24,2021-12-06,2022-12-06,365,Repeat Loan,10024.9,0.091,15441.29,0.4049263858114449,0
ID_295606363302245684,295606,Ghana,363302,245684,Type_2,142396.63,220714.77,2022-02-09,2022-12-06,300,Repeat Loan,9718.57,0.06825,15058.44,0.8984029473112256,1
ID_298504365357297182,298504,Ghana,365357,297182,Type_2,34508.16,44860.61,2023-02-17,2023-08-16,180,Repeat Loan,13803.27,0.4,17944.25,0.8916711071648261,1
ID_309021368747267278,309021,Kenya,368747,267278,Type_7,4865.0,5286.0,2024-08-10,2024-08-17,7,Repeat Loan,973.0,0.2,1057.0,0.8655407833931561,1
ID_296085363254245684,296085,Ghana,363254,245684,Type_2,180488.56,229220.47,2022-01-28,2022-07-27,180,Repeat Loan,9854.68,0.0546,12507.86,0.8454555064180702,1
ID_249340284442251804,249340,Kenya,284442,251804,Type_6,2380.0,3144.0,2022-10-19,2022-10-26,7,Repeat Loan,380.0,0.159663865546218,502.0,0.919750599659611,1
ID_297767364424245684,297767,Ghana,364424,245684,Type_2,71702.99,89628.74,2022-09-15,2023-03-14,180,Repeat Loan,3274.44,0.0456666666666666,4254.38,0.881449287617576,1
ID_249628278044267278,249628,Kenya,278044,267278,Type_1,1500.0,2373.0,2022-10-08,2022-10-15,7,Repeat Loan,450.0,0.3,712.0,0.919754372659082,1
ID_271430280758267278,271430,Kenya,280758,267278,Type_1,3455.0,5272.0,2022-10-13,2022-10-20,7,Repeat Loan,1036.5,0.3,1582.0,0.917289657156002,1
ID_296419363366296540,296419,Ghana,363366,296540,Type_2,86250.86,132826.33,2022-02-22,2023-02-22,365,New Loan,22994.48,0.2666,35414.6,0.3482860796961081,0
ID_295271364014297182,295271,Ghana,364014,297182,Type_2,74447.11,104598.19,2022-06-23,2023-06-23,365,Repeat Loan,8129.62,0.1092,12522.0,0.8110323422503521,1
ID_266605243821267278,266605,Kenya,243821,267278,Type_1,4467.0,5333.0,2022-08-25,2022-09-01,7,Repeat Loan,1340.1,0.3,1600.0,0.91405230337858,1
ID_267887275688267278,267887,Kenya,275688,267278,Type_6,3690.0,6063.0,2022-10-06,2022-10-13,7,Repeat Loan,738.0,0.2,1213.0,0.9197446574752008,1
ID_295996364180296542,295996,Ghana,364180,296542,Type_8,112145.58,144107.06,2022-07-28,2023-01-24,180,Repeat Loan,6691.03,0.05966375,8593.15,0.8748003153011585,1
ID_242121138904251804,242121,Kenya,138904,251804,Type_4,100000.0,106246.0,2022-04-07,2022-06-06,60,Repeat Loan,12088.34,0.1208834,13569.0,0.6264732652913745,1
ID_296668363476296540,296668,Ghana,363476,296540,Type_2,62818.17,83548.16,2022-03-17,2022-09-13,180,Repeat Loan,9648.24,0.15359,12830.61,0.8689418561704794,1
ID_296001364015296540,296001,Ghana,364015,296540,Type_2,118403.11,125211.29,2022-06-24,2023-02-19,240,Repeat Loan,2890.96,0.02441625,4158.91,0.537047382781283,1
ID_295996364180297182,295996,Ghana,364180,297182,Type_8,112145.58,144107.06,2022-07-28,2023-01-24,180,Repeat Loan,22429.12,0.2,28821.41,0.8198271622185889,1
ID_270344271892267278,270344,Kenya,271892,267278,Type_1,9319.0,13223.0,2022-10-01,2022-10-08,7,Repeat Loan,261.73,0.0280856315055263,371.0,0.9147558902204228,1
ID_259543229890267278,259543,Kenya,229890,267278,Type_1,450.0,769.0,2022-08-01,2022-08-08,7,Repeat Loan,135.0,0.3,231.0,0.9197449643198592,1
ID_297991364736297182,297991,Ghana,364736,297182,Type_2,17458.74,19204.62,2022-10-27,2023-04-25,180,Repeat Loan,4652.75,0.2665,6049.45,0.2985343716973214,0
ID_267626266002267278,267626,Kenya,266002,267278,Type_1,10177.0,11938.0,2022-09-23,2022-09-30,7,Repeat Loan,3053.1,0.3,3581.0,0.8742902218719386,1
ID_250501306564267278,250501,Kenya,306564,267278,Type_5,12000.0,13362.0,2023-02-03,2023-02-17,14,Repeat Loan,1600.0,0.133333333333333,1782.0,0.9119884032045716,1
ID_296685364575296542,296685,Ghana,364575,296542,Type_8,51476.17,66146.88,2022-10-11,2023-04-09,180,Repeat Loan,10295.23,0.2,13235.1,0.8460563788116402,1
ID_297498365284297182,297498,Ghana,365284,297182,Type_2,91422.97,116107.17,2023-01-31,2023-07-30,180,Repeat Loan,14627.68,0.16,18579.18,0.8256713589174735,1
ID_295811364078296542,295811,Ghana,364078,296542,Type_8,73402.53,73593.38,2022-07-05,2023-01-01,180,Repeat Loan,11744.4,0.16,15091.56,0.4963403970502683,0
ID_297773365191297182,297773,Ghana,365191,297182,Type_2,68769.75,78741.37,2023-01-12,2023-09-09,240,Repeat Loan,11003.16,0.16,14968.88,0.7758911313209436,1
ID_249141238087267278,249141,Kenya,238087,267278,Type_1,1619.0,2565.0,2022-08-17,2022-08-24,7,Repeat Loan,485.7,0.3,770.0,0.9197526757884472,1
ID_272388306109251804,272388,Kenya,306109,251804,Type_6,5760.0,7051.0,2022-12-13,2022-12-20,7,Repeat Loan,921.0,0.159895833333333,1127.0,0.9193979407300242,1
ID_296685363464296542,296685,Ghana,363464,296542,Type_8,47898.76,62268.39,2022-03-15,2022-09-11,180,Repeat Loan,19159.5,0.4,24907.36,0.7717295103817348,1
ID_296610364341297182,296610,Ghana,364341,297182,Type_2,72601.91,104546.75,2022-09-06,2023-05-04,240,Repeat Loan,14520.38,0.2,20909.35,0.8099156853304026,1
ID_243551275660267278,243551,Kenya,275660,267278,Type_1,2490.0,3816.0,2022-10-06,2022-10-13,7,Repeat Loan,747.0,0.3,1145.0,0.9172884213444918,1
ID_296294363893296540,296294,Ghana,363893,296540,Type_2,149559.99,215366.39,2022-05-30,2023-01-25,240,Repeat Loan,8165.98,0.0546,11755.42,0.889273142456841,1
ID_296254364939297182,296254,Ghana,364939,297182,Type_2,168541.52,221632.1,2022-11-23,2023-06-21,210,Repeat Loan,44941.6,0.26665,59099.08,0.9141269513760112,1
ID_296578363347245684,296578,Ghana,363347,245684,Type_2,43413.97,57740.58,2022-02-18,2022-02-24,6,New Loan,3015.19,0.069452,4011.45,0.7726505991546971,1
ID_258049273173267278,258049,Kenya,273173,267278,Type_1,19714.0,24510.0,2022-10-03,2022-10-10,7,Repeat Loan,5914.2,0.3,7353.0,0.9191881408516348,1
ID_247065307286251804,247065,Kenya,307286,251804,Type_4,100000.0,113539.0,2023-06-07,2023-09-05,90,Repeat Loan,20000.0,0.2,22708.0,0.6432159601811416,1
ID_288739372880251804,288739,Kenya,372880,251804,Type_7,34076.0,36549.0,2024-10-10,2024-10-17,7,Repeat Loan,6815.0,0.199994130766521,7310.0,0.7550322627093579,1
ID_296639363506245684,296639,Ghana,363506,245684,Type_2,78108.4,120286.94,2022-03-21,2022-12-16,270,Repeat Loan,5199.83,0.066572,8013.92,0.8489929784104965,1
ID_297943364713297182,297943,Ghana,364713,297182,Type_2,55431.76,63746.53,2022-10-21,2023-04-19,180,Repeat Loan,14781.8,0.266666666666666,19216.35,0.8730608635435528,1
ID_296500363196245684,296500,Ghana,363196,245684,Type_2,108651.02,133097.5,2022-01-17,2023-01-17,365,Repeat Loan,9887.24,0.091,15229.25,0.3877037099354332,0
ID_248962234255267278,248962,Kenya,234255,267278,Type_1,799.0,1359.0,2022-08-10,2022-08-17,7,Repeat Loan,239.7,0.3,408.0,0.9197525756032808,1
ID_288808368292267278,288808,Kenya,368292,267278,Type_7,28718.0,31533.0,2024-07-30,2024-08-06,7,Repeat Loan,5743.0,0.199979107180165,6306.0,0.8913906515723566,1
ID_297598364361296540,297598,Ghana,364361,296540,Type_2,60226.61,66249.27,2022-09-08,2023-03-07,180,Repeat Loan,6576.75,0.1092,8552.18,0.81158728398795,1
ID_296167364260245684,296167,Ghana,364260,245684,Type_2,73682.09,97997.18,2022-08-19,2023-02-15,180,Repeat Loan,6705.07,0.091,8915.53,0.9037833531675888,1
ID_296167363572245684,296167,Ghana,363572,245684,Type_2,61471.73,74995.51,2022-03-31,2022-09-27,180,Repeat Loan,3666.17,0.05964,4871.63,0.8265035132055173,1
ID_296170364660296540,296170,Ghana,364660,296540,Type_2,66466.04,88399.83,2022-10-14,2023-04-12,180,Repeat Loan,3852.26,0.0579583333333333,5128.96,0.8918012020527409,1
ID_296166364301296540,296166,Ghana,364301,296540,Type_2,48397.93,61707.36,2022-08-24,2023-02-20,180,Repeat Loan,6606.32,0.1365,8784.22,0.8821235884573317,1
ID_296553363265296540,296553,Ghana,363265,296540,Type_2,54622.52,77563.98,2022-01-31,2022-08-29,210,New Loan,14566.01,0.266666666666666,20683.73,0.3814547264986755,0
ID_296014364531296540,296014,Ghana,364531,296540,Type_2,35021.35,46578.39,2022-09-29,2023-03-28,180,Repeat Loan,2369.19,0.06765,3151.92,0.8949107496231268,1
ID_295864364358296540,295864,Ghana,364358,296540,Type_2,72601.91,92567.43,2022-09-06,2023-03-05,180,Repeat Loan,6606.77,0.091,8784.83,0.8732451771898674,1
ID_297760364538297182,297760,Ghana,364538,297182,Type_2,35021.35,45527.75,2022-09-29,2023-03-28,180,Repeat Loan,7004.27,0.2,9105.55,0.8947876102795522,1
ID_249482306108251804,249482,Kenya,306108,251804,Type_5,13500.0,14646.0,2022-12-13,2022-12-27,14,Repeat Loan,1800.0,0.133333333333333,1953.0,0.8823528166040545,1
ID_298114364938296540,298114,Ghana,364938,296540,Type_2,50665.75,65865.48,2022-11-22,2023-05-21,180,Repeat Loan,6562.23,0.12952,8528.73,0.8942892103282648,1
ID_296594363323296540,296594,Ghana,363323,296540,Type_2,87900.12,124818.16,2022-02-16,2022-09-14,210,Repeat Loan,9598.69,0.1092,13624.52,0.8341467373136785,1
ID_295960364362296540,295960,Ghana,364362,296540,Type_2,108407.9,114731.69,2022-09-08,2023-03-07,180,Repeat Loan,21681.58,0.2,27535.61,0.8732848139643158,1
ID_288534357531251804,288534,Kenya,357531,251804,Type_4,7000.0,7544.0,2023-08-04,2023-08-18,14,Repeat Loan,1662.0,0.237428571428571,1791.0,0.8429813666131126,1
ID_296637363404296542,296637,Ghana,363404,296542,Type_8,33210.22,43173.29,2022-03-03,2022-08-30,180,New Loan,8850.52,0.2665,11507.34,0.3204183940600389,0
ID_298589365374296540,298589,Ghana,365374,296540,Type_2,41282.91,51603.64,2023-03-04,2023-08-01,150,New Loan,1479.68,0.0358425,1847.41,0.2980351023183817,0
ID_296519363244245684,296519,Ghana,363244,245684,Type_2,109308.88,114774.32,2022-01-26,2022-07-25,180,Repeat Loan,9947.11,0.091,12625.18,0.8302418745266325,1
ID_296517363343296542,296517,Ghana,363343,296542,Type_8,52726.62,68544.61,2022-02-17,2022-08-16,180,Repeat Loan,21090.65,0.4,27417.84,0.7659711901367511,1
ID_298030364891296540,298030,Ghana,364891,296540,Type_2,50584.93,65760.41,2022-11-14,2023-05-13,180,Repeat Loan,2312.15,0.0457083333333333,3009.8,0.8851095540916941,1
ID_297889364658296540,297889,Ghana,364658,296540,Type_2,22155.35,28801.95,2022-10-14,2023-04-12,180,Repeat Loan,1271.38,0.057385,1650.57,0.7223998378197467,1
ID_296205364641296540,296205,Ghana,364641,296540,Type_2,68076.84,90542.19,2022-10-12,2023-04-10,180,Repeat Loan,1565.31,0.0229933333333333,2076.34,0.8748378482066339,1
ID_296581364468245684,296581,Ghana,364468,245684,Type_2,107711.59,156181.81,2022-09-21,2023-07-18,300,Repeat Loan,6534.5,0.0606666666666666,9478.62,0.8879458309825873,1
ID_298455365312297182,298455,Ghana,365312,297182,Type_2,60933.54,79213.6,2023-02-06,2023-08-05,180,New Loan,24373.41,0.4,31685.44,0.2885534902233584,0
ID_296610364341296540,296610,Ghana,364341,296540,Type_2,72601.91,104546.75,2022-09-06,2023-05-04,240,Repeat Loan,14520.38,0.2,20909.35,0.8099156853304026,1
ID_253285130985251804,253285,Kenya,130985,251804,Type_5,36000.0,40219.0,2022-03-24,2022-04-07,14,Repeat Loan,5760.0,0.16,6435.0,0.9133839103588044,1
ID_296803364479296540,296803,Ghana,364479,296540,Type_2,105002.96,116494.95,2022-09-27,2023-03-26,180,Repeat Loan,4327.17,0.04121,5751.83,0.7739967357779647,1
ID_306553366871267277,306553,Kenya,366871,267277,Type_9,30000.0,34686.0,2024-06-13,2024-06-20,7,Repeat Loan,15000.0,0.5,17343.0,0.5362043047155975,1
